,category,title,body
6385,yo momma,yo momma,yo mamma is so fat that when she goes to the beach she is the only one that gets a tan!
6387,yo momma,yo momma so poor,yo mamma is so poor she has only got two channels on her t.v.   'on' and 'off'.
6394,one liners,pirate joke,"what is a pirate is favourite branch of the military? the arrrmy... no, the navy, he is a pirate!"
6398,other / misc,test your reading ability,hawt het hlle ma i redanig?
6399,animal,the squirrel,why did the squirrel sleep on his stomach? to keep his nuts warm!
6400,puns,a tie and a hat,"what did the tie say to the hat? you go on a head, i will just hang around."
6401,knock-knock,kanga,knock knock! who is there? kanga. kanga who? no! kangaroo!
6418,animal,fish,q  why did the little girls put minnows in their pants? a  so they could smell like big girls.
6431,redneck,family reunion,q  what do you call a redneck family reunion? a  an orgy!
6437,one liners,roman iv's,do roman paramedics refer to an iv as a four?
6438,yo momma,yo momma so big...,"yo momma is so big, that when she farts, she destroys the ozone layer above her!"
6439,other / misc,messed up names,"in a messed up family, the child named hope is goth, and the child named faith is atheist."
6444,insults,so ugly,did your parents have any kids that lived?
6447,redneck,redneck fitness,you know you are a redneck when your stair master has an ashtray!
6452,one liners,what's in a name?,why has edward woodward got 4 d is in his name? if he had not he would be ewar woowar!
6453,one liners,now you see me . . . .,what is red and invisible? no tomato.
6466,one liners,official rules,registered users win points for submitting and voting on jokes.
6480,one liners,privacy policy,"we are rated with rsac i, safesurf tm rated."
6481,one liners,submit a joke,your joke was submitted.
6484,one liners,a friend,a friend in need . . . . . .is a damn nuisance.
6494,puns,venice,"if it were not for venetian blinds, it would be curtains for everybody."
6495,puns,what do you get?,what do you get when you divide the circumference of a jack o lantern by its diameter? pumpkin pi!
6496,puns,sweet!,"i wanted to learn how to make ice cream, so i started attending sundae school."
6497,one liners,language!,my teacher always used to tell me that double negatives are a real no no.
6499,knock-knock,sherwood,"knock knock. who is there? sherwood. sherwood who? sherwood like to meet you, so open the door!"
6503,other / misc,juicey-juice,i found this on a can of juicey juice 100  juice. just add water.
6504,puns,loooonnnngggg john,q  why could long john silver never find an aspirin? a  'cause his parrots ate them all.
6505,puns,baker's doesn't,do bakers with a sense of humor bake wry bread?
6508,other / misc,irish difference,q  what is the difference between an irish wedding and an irish funeral? a  one drunk irishman
6513,puns,tap tap tap,"i went into the kitchen, and there was a tap on the window. not using that plumber again!"
6514,puns,but 2 wrights made a plane,"two wrongs do not make a right, but three rights make a left."
6516,knock-knock,dustin,"knock knock who is there? dustin dustin who? dust in the air, please let me in!"
6517,yo momma,911,"yo momma so fat, when she did not have enough food, she rang 911."
6520,knock-knock,candy,knock knock! who is there? candy. candy who? candy door even open?
6521,insults,how to produce ugly children,q  which sexual position produces the ugliest children? a  ask your mom.
6531,men / women,(wo)man,"know why men are men and women are women? men keep saying   wo man, check out her boobs!"
6536,one liners,public forums,an active message board with hundreds of topics in which to participate.
6537,one liners,private messages,send private messages to your friends.
6539,one liners,funny stories,have a funny story? share it here.
6540,one liners,games,play or chat about games in here.
6542,one liners,entertainment,"tv, movies, music, books..."
6555,knock-knock,tex,knock knock who is there? tex tex who? tex two to tango.
6569,animal,jackrabbit,q  what to you call it when your pet jackrabbit dies? a  a bad  hare  day
6571,at work,who's on first thing?,how does the guy who drives the snowplow get to work in the mornings?
6572,other / misc,chickens are cool,why did the chicken cross the road? there were not any cars coming!
6582,knock-knock,prankster,knock knock who is there?  silence 
6583,puns,a priest,what do you call a black priest? holy shit
6595,animal,hot bunny,q  what happens when you pour boiling water on a bunny? a  a hot cross buniken!
6596,other / misc,parachute,"a parachute used once, but has never been open!"
6597,knock-knock,eileen,knock knock! who is there? eileen. eileen who? eileen on the door until you open it
6598,yo momma,cooking,"yo momma is cooking so bad, she is got a toothbrush next to her plate instead of a knife!"
6600,children,new bum,why did the boy buy a new bum? coz his had a crack in it.
6601,gross,nose picker,"my mum told me that picking my nose was disgusting, and from now on, i had to pick it myself."
6603,knock-knock,can't catch,"knock knock who is there? can not catch. can not catch who? me, you can not catch me!"
6614,knock-knock,maida,knock knock! who is there? maida. maida who? maida force be with you!
6621,knock-knock,abbott,knock knock! who is there? abbott. abbott who? abbott time you answered the door!
6630,one liners,the cyclist,"i took lessons in bicycle riding, but i could only afford half of them. now i can ride a unicycle."
6632,one liners,mosquitios,"mosquitos consider most people as food, but grandma is an open bar."
6633,one liners,how to stop putting things off!,i will tell ya later.
6638,animal,ringo!,what is black and white and makes a lot of noise? a zebra with a drum.
6640,children,ticks and crosses," have you ever had a tick before?  asked mel.  no, i have only ever had crosses,  replied sally."
6644,one liners,i simply must ask...,do doughnut shops need security systems?
6645,yo momma,fat@$$ momma,"yo momma is so fat, i gave her a piggyback ride and i got scoliosis."
6648,other / misc,santa,what do you call santa when he is been to the beach? sandy claus!
6649,knock-knock,he...,"knock knock. who is there? he. he who? he who must not be named, so do not say it!"
6657,yo momma,yo mamma so fat....,"yo mamma so fat that when i swerved around her in my car, i ran out of petrol!"
6658,insults,you're so stupid,"you are so stupid, you traded your car in for petrol!"
6659,insults,random insults...,you are as bright as a broken lightbulb!
6660,insults,random insults...2,you are as funny as a ripped up joke book!
6661,insults,random insults...3,you are as smart as a broken calculator!!!!!!!
6663,one liners,a new proverb,if at first you do not suceed...lower your standards!
6669,knock-knock,dot,"knock knock! who is there? dot. dot who? dots for me to know, and you to find out."
6672,other / misc,an example of human stupidity ii,the can was invented quite a while before the can opener.
6673,puns,food fight!,what do you call the planters guy beating up fruit spread? peanut battering jelly.
6678,yo momma,so stupid,yo momma is so stupid she took wood to the movie saw!!
6682,one liners,will,she left him because he had a will of his own. and it was not made out to her!
6686,knock-knock,radio,"knock knock! who is there? radio. radio who? radio not, here i come!"
6690,yo momma,yo momma so fat,"yo momma is so fat, when she turns around another year has passed already!"
6691,yo momma,so fat,yo momma is so fat she needs mapquest to find her butt!
6693,yo momma,stripe,yo momma smells so bad the skunk gave her his stripe.
6694,knock-knock,doughnut,knock knock. who is there? doughnut. doughnut who? i doughnut want to know if you are sick!
6704,one liners,virginity,virginity is like a balloon. one prick and it is gone!
6706,puns,underwater computer,q  what type of storage units do underwater computers use? a  trilo bytes
6720,news / politics,joke of the day,george w. bush.... that is it
6723,gross,gross definition,gummer  is defined as receiving oral sex from a woman who has no teeth.
6725,one liners,morning after,did you hear about the morning after pill for guys? it changes his blood type.
6726,gross,what do women with no legs leave behind?,what do women with no legs leave behind when they cross a linoleum floor? snail tracks.
6728,one liners,what do they have in common?,what do a walrus   tupperware have in common? they both like a  tight  seal!
6729,religious,what do you call,what is jewish beer called? he brew!!
6731,animal,so fat,yo mama so fat when jumps up in the air she gets stuck.
6734,other / misc,this is a joke.,this is funny.
6735,one liners,definition of junk,junk  something you keep for years and throw away three weeks before you need it.
6736,other / misc,shhhh,what can you break without saying its' name? silence...shhh!
6744,animal,bird bird,q  what does a 1000 pound bird say?? a  squawk!!!
6745,religious,the resurrection,q  what was jesus when he was resurrected? a  a born again christian
6746,blond,in a tree,q  how do you get a blonde with one arm out of a tree? a  wave to her
6758,animal,who put the light out?,"outside of a dog, a book is probably man is best friend. inside of a dog, it is too dark to read."
6760,one liners,save the whales,"save the whales, harpoon a fat chick!"
6770,yo momma,a poem about yo nasty momma,float like a butterfly sting like a bee i slept with yo momma now it burns when i pee !
